Date,Return
2015-2-19,-0.26908585188964995
2015-2-20,-11.880418722899222
2015-2-23,-0.12102676042724525
2015-2-24,0.6069671687312095
2015-2-25,0.1564939284884881
2015-2-26,-0.16002825078719196
2015-2-27,-0.3225807560301108
2015-3-2,0.42948716539841225
2015-3-3,-0.8178955384730013
2015-3-4,-0.057337846724969666
2015-3-5,0.03486944984270046
2015-3-6,-1.1724073893781384
2015-3-9,0.06455777921237082
2015-3-10,-1.4101382488479253
2015-3-11,-0.12528497197307198
2015-3-12,2.089167958093685
2015-3-13,-1.1947193074114404
2015-3-16,0.7672966420712024
2015-3-17,0.40028096444293393
2015-3-18,2.638164038930779
2015-3-19,-1.4786775252595197
2015-3-20,0.8654936847599215
2015-3-23,0.8318580868192704
2015-3-24,-0.40528378249351515
2015-3-25,-1.0942423094851161
2015-3-26,-1.251685189719709
2015-3-27,0.2554121918258545
2015-3-30,1.5924832401646105
2015-3-31,-0.23635907100837406
2015-4-1,-0.0917624675770945
2015-4-2,0.9981043268534995
2015-4-7,-0.09541428655932549
2015-4-8,-0.3144363266438299
2015-4-9,-0.4237698846845994
2015-4-10,1.0452269076137721
2015-4-13,-0.06415866019285899
2015-4-14,-0.33207571800311086
2015-4-15,1.6633781842797513
2015-4-16,-0.5349998716413062
2015-4-17,-1.2944507092989221
2015-4-20,0.4169498148616224
2015-4-21,-0.3081797846557044
2015-4-22,-0.004313177728232365
2015-4-23,0.5332803028859745
2015-4-24,0.1248151179631618
2015-4-27,-0.18988529677581578
2015-4-28,-0.2099062127786988
2015-4-29,-0.5690931730484516
2015-4-30,-0.4174205933791475
2015-5-4,0.003226934408595561
2015-5-5,-1.0426175203896548
2015-5-6,-0.32254987138125024
2015-5-7,0.033279851238821045
2015-5-8,1.0222450886543832
2015-5-11,0.4113701864482566
2015-5-12,-0.8749712547413413
2015-5-13,0.39828351040414045
2015-5-14,1.0332951346838648
2015-5-15,-0.14840643420072075
2015-5-18,-0.00823518899634168
2015-5-19,0.5727220356617213
2015-5-20,-0.03184995381478872
2015-5-21,0.2981608815055603
2015-5-22,-0.6936727694916156
2015-5-26,-0.8971632497172144
2015-5-27,0.6004308851668583
2015-5-28,0.5023402918967967
2015-5-29,-0.9192006741276071
2015-6-1,0.26522756251938784
2015-6-2,0.6457786698976786
2015-6-3,0.6513923075231798
2015-6-4,-1.1682276059614138
2015-6-5,-0.1712407951871553
2015-6-8,0.8760964647235081
2015-6-9,-0.6604118295264527
2015-6-10,1.2568273516873951
2015-6-11,-0.2627385325336351
2015-6-12,-0.26907707102152845
2015-6-15,-0.2719809515085658
2015-6-16,0.07694706638270432
2015-6-17,0.8284626302499376
2015-6-18,-0.4233571227806321
2015-6-19,0.5387954094044467
2015-6-22,-0.25266900462748154
2015-6-23,0.26963583998824703
2015-6-24,0.2497338410607508
2015-6-25,-0.6243659316398809
2015-6-26,-0.3207216332137719
2015-6-29,-0.8666031537396091
2015-6-30,-1.8793376401370687
2015-7-1,0.36648850031526514
2015-7-2,-0.3860705307833223
2015-7-3,-0.03651366147625623
2015-7-6,-0.47586376595020186
2015-7-7,-1.0380958168931365
2015-7-8,0.25079440990500856
2015-7-9,0.17290781177909942
2015-7-10,0.6494552316330005
2015-7-13,0.569049539683264
2015-7-14,0.6908675433928924
2015-7-15,-0.49030668366879526
2015-7-16,0.060602348559157804
2015-7-17,-1.0021731804797707
2015-7-20,-0.575998662801469
2015-7-21,-0.12599338514422964
2015-7-22,0.046926058483909294
2015-7-23,-0.5313885699945509
2015-7-24,-1.0791688640452768
2015-7-27,-1.8043064433336697
2015-7-28,0.7138802475578077
2015-7-29,0.9421934692918521
2015-7-30,0.6144074086602558
2015-7-31,0.21001210286490934
2015-8-3,-0.08282562190218279
2015-8-4,-1.078651100233241
2015-8-5,1.4321768124732515
2015-8-6,-1.8075518832473825
2015-8-7,-0.15066808590524783
2015-8-10,1.349761379088199
2015-8-11,-0.8851055566827859
2015-8-12,-1.35339441932123
2015-8-13,1.1852481034444473
2015-8-14,0.009988501243163306
2015-8-17,1.0775867345939272
2015-8-18,-0.21797694341724183
2015-8-19,-1.058802821786542
2015-8-20,-0.6888265085308043
2015-8-21,-2.8219437903194033
2015-8-24,-3.095909659531404
2015-8-25,1.0809241902831612
2015-8-26,-3.4824364391315643
2015-8-27,4.4801904039935
2015-8-28,1.5175762724869424
2015-8-31,0.04372292770271624
2015-9-1,-1.2977302652118383
2015-9-2,-1.5009310195625014
2015-9-3,2.2802485137738637
2015-9-4,-1.5526597768854677
2015-9-7,0.27062517511784456
2015-9-8,1.2322762990571112
2015-9-9,0.8573525378074098
2015-9-10,-1.1820729236335592
2015-9-11,-0.8029804081817526
2015-9-14,0.1054392970327056
2015-9-15,0.6552709546887137
2015-9-16,1.3549839900834248
2015-9-17,1.8683551632292739
2015-9-18,-3.3692519278803013
2015-9-21,0.8250865745826008
2015-9-22,-2.378452311539525
2015-9-23,0.2708785415411974
2015-9-24,-1.8486556473620075
2015-9-25,1.7124412893090746
2015-9-28,-2.060718107896442
2015-9-29,-1.598149327604781
2015-9-30,1.018500126349764
2015-10-1,-0.2647970476342021
2015-10-2,-0.6783614480987188
2015-10-5,4.468048781345546
2015-10-6,1.2391513074993865
2015-10-7,-0.04808673275604747
2015-10-8,1.8167731314189695
2015-10-9,0.795411281274494
2015-10-12,-0.4735458463840714
2015-10-13,0.3467862018165402
2015-10-14,-1.6686402486926433
2015-10-15,-0.752137159334676
2015-10-16,1.37326488254077
2015-10-19,0.33352625748737097
2015-10-20,0.21712509890834397
