Data,JPGL
09/2021,60733.06767109893
10/2021,63191.95725624248
11/2021,61690.00620257059
12/2021,65731.40747731876
01/2022,63209.48581537032
02/2022,62697.05239808768
03/2022,64671.649093552536
04/2022,61513.555611851436
05/2022,62265.87436212963
06/2022,56597.52526918404
07/2022,59763.54107262849
08/2022,57503.98406566609
09/2022,52119.162112147176
10/2022,56268.36120767541
11/2022,60383.91370242806
12/2022,58777.66172714747
01/2023,61920.93163585378
02/2023,59983.20071936596
03/2023,60705.236875537346
04/2023,61735.15143194313
05/2023,59026.29126554142
06/2023,62226.34539051438
07/2023,64032.9362879396
08/2023,62258.0179078308
09/2023,60241.628387081844
