Date,Close
08/2019,21.635000228881836
09/2019,22.834999084472656
10/2019,22.850000381469727
11/2019,23.454999923706055
12/2019,23.825000762939453
01/2020,23.729999542236328
02/2020,21.6299991607666
03/2020,18.57200050354004
04/2020,20.38999938964844
05/2020,20.770000457763672
06/2020,20.78499984741211
07/2020,20.600000381469727
08/2020,21.579999923706055
09/2020,21.229999542236328
10/2020,20.96500015258789
11/2020,22.834999084472656
12/2020,22.979999542236328
01/2021,23.19499969482422
02/2021,23.864999771118164
03/2021,25.989999771118164
04/2021,26.2549991607666
05/2021,26.489999771118164
06/2021,27.239999771118164
07/2021,27.7549991607666
08/2021,28.354999542236328
09/2021,27.84000015258789
10/2021,28.905000686645508
11/2021,29.075000762939453
12/2021,30.7450008392334
01/2022,29.6299991607666
02/2022,29.53499984741211
03/2022,31.040000915527344
04/2022,31.325000762939453
05/2022,30.69499969482422
06/2022,28.6200008392334
07/2022,30.94499969482422
08/2022,30.364999771118164
09/2022,28.524999618530273
10/2022,30.15999984741211
11/2022,30.55500030517578
12/2022,29.21500015258789
01/2023,30.104999542236328
02/2023,30.125
03/2023,29.65999984741211
04/2023,29.739999771118164
05/2023,29.329999923706055
06/2023,30.209999084472656
07/2023,30.844999313354492
08/2023,30.549999237060547
09/2023,30.3799991607666
10/2023,29.454999923706055
11/2023,30.684999465942383
12/2023,32.060001373291016
01/2024,32.91999816894531
02/2024,33.665000915527344
03/2024,35.05500030517578
04/2024,34.3650016784668
05/2024,34.56999969482422
06/2024,35.25
07/2024,36.224998474121094
08/2024,36.439998626708984
09/2024,36.869998931884766
10/2024,36.904998779296875
11/2024,39.400001525878906
12/2024,37.689998626708984
01/2025,37.36000061035156
